4067.94 & C~{\sc iii}     
4068.60 & [S~{\sc ii}]    
4068.92 & C~{\sc iii}     
4069.62 & O~{\sc ii}      
4069.89 & O~{\sc ii}      
4070.14 & O~{\sc ii}      
4070.26 & C~{\sc iii}     
4071.23 & O~{\sc ii}      
4072.16 & O~{\sc ii}      
4075.86 & O~{\sc ii}      
4076.35 & [S~{\sc ii}]    
4077.59 & O~{\sc ii}      
4077.72 & O~{\sc ii}      
4078.84 & O~{\sc ii}      
4083.89 & O~{\sc ii}      
4083.90 & O~{\sc ii}      
4084.65 & O~{\sc ii}      
4085.11 & O~{\sc ii}      
4086.58 & O~{\sc ii}      
4086.71 & O~{\sc ii}      
4087.15 & O~{\sc ii}      
4088.27 & O~{\sc ii}      
4089.29 & O~{\sc ii}      
4092.93 & O~{\sc ii}      
4094.14 & O~{\sc ii}      
4095.64 & O~{\sc ii}      
4096.19 & O~{\sc ii}      
4096.52 & O~{\sc ii}      
4096.93 & O~{\sc ii}      
4097.25 & O~{\sc ii}      
4097.26 & O~{\sc ii}      
4097.33 & N~{\sc iii}     
4098.24 & O~{\sc ii}      
4099.63 & O~{\sc ii}      
4100.04 & He~{\sc ii}     
4101.74 & H~{\sc i}       
4103.00 & O~{\sc ii}      
4104.72 & O~{\sc ii}      
4104.99 & O~{\sc ii}      
4106.02 & O~{\sc ii}      
4107.09 & O~{\sc ii}      
4107.33 & O~{\sc ii}      
4108.75 & O~{\sc ii}      
4109.29 & O~{\sc ii}      
4110.78 & O~{\sc ii}      
4110.79 & O~{\sc ii}      
4112.02 & O~{\sc ii}      
4114.18 & O~{\sc ii}      
4114.50 & O~{\sc ii}      
4119.22 & O~{\sc ii}      
4120.28 & O~{\sc ii}      
4120.51 & O~{\sc ii}      
4120.54 & O~{\sc ii}      
4120.84 & He~{\sc i}      
4121.46 & O~{\sc ii}      
4126.09 & O~{\sc ii}      
4129.32 & O~{\sc ii}      
4132.80 & O~{\sc ii}      
4137.72 & O~{\sc ii}      
4140.70 & O~{\sc ii}      
4143.76 & He~{\sc i}      
4146.00 & O~{\sc ii}      
4153.30 & O~{\sc ii}      
4156.53 & O~{\sc ii}      
4168.97 & He~{\sc i}      
4169.22 & O~{\sc ii}      
4176.16 & N~{\sc ii}      
4185.45 & O~{\sc ii}      
4186.90 & C~{\sc iii}     
4189.79 & O~{\sc ii}      
4195.76 & N~{\sc iii}     
4199.83 & He~{\sc ii}     
4200.10 & N~{\sc iii}     
4219.37 & Ne~{\sc ii}     
4219.74 & Ne~{\sc ii}     
4221.70 & O~{\sc ii}      
4224.80 & O~{\sc ii}      
4225.26 & O~{\sc ii}      
4227.20 & [Fe~{\sc v}]    
4227.74 & N~{\sc ii}      
4232.35 & O~{\sc ii}      
4236.91 & N~{\sc ii}      
4237.05 & N~{\sc ii}      
4237.93 & O~{\sc ii}      
4241.24 & N~{\sc ii}      
4241.78 & N~{\sc ii}      
4242.49 & N~{\sc ii}      
4243.98 & [Fe~{\sc ii}]   
4244.76 & O~{\sc ii}      
4245.52 & O~{\sc ii}      
4246.71 & N~{\sc ii}      
4247.20 & N~{\sc ii}      
4253.86 & O~{\sc ii}      
4254.00 & O~{\sc ii}      
4257.55 & O~{\sc ii}      
4263.27 & O~{\sc ii}      
4267.15 & C~{\sc ii}      
4273.10 & O~{\sc ii}      
4274.24 & O~{\sc ii}      
4275.55 & O~{\sc ii}      
4275.99 & O~{\sc ii}      
4276.28 & O~{\sc ii}      
4276.62 & O~{\sc ii}      
4276.71 & O~{\sc ii}      
4276.75 & O~{\sc ii}      
4277.43 & O~{\sc ii}      
4277.89 & O~{\sc ii}      
4281.32 & O~{\sc ii}      
4281.45 & O~{\sc ii}      
4282.02 & O~{\sc ii}      
4282.96 & O~{\sc ii}      
4283.25 & O~{\sc ii}      
4283.73 & O~{\sc ii}      
4284.00 & O~{\sc ii}      
4284.39 & O~{\sc ii}      
4285.21 & O~{\sc ii}      
4285.69 & O~{\sc ii}      
4287.39 & [Fe~{\sc ii}]   
4288.82 & O~{\sc ii}      
4291.25 & O~{\sc ii}      
4291.86 & O~{\sc ii}      
4292.16 & C~{\sc ii}      
4292.21 & O~{\sc ii}      
4292.95 & O~{\sc ii}      
4294.78 & O~{\sc ii}      
4294.92 & O~{\sc ii}      
4303.61 & O~{\sc ii}      
4303.82 & O~{\sc ii}      
4304.08 & O~{\sc ii}      
4305.39 & O~{\sc ii}      
4307.23 & O~{\sc ii}      
4309.00 & O~{\sc ii}      
4312.11 & O~{\sc ii}      
4313.44 & O~{\sc ii}      
4315.39 & O~{\sc ii}      
4315.69 & O~{\sc ii}      
4315.83 & O~{\sc ii}      
4317.14 & O~{\sc ii}      
4317.70 & O~{\sc ii}      
4319.63 & O~{\sc ii}      
4322.44 & O~{\sc ii}      
4324.79 & O~{\sc ii}      
4325.76 & O~{\sc ii}      
4327.59 & O~{\sc ii}      
4331.13 & O~{\sc ii}      
4332.33 & O~{\sc ii}      
4332.71 & O~{\sc ii}      
4333.88 & O~{\sc ii}      
4334.03 & O~{\sc ii}      
4334.19 & O~{\sc ii}      
4334.33 & O~{\sc ii}      
4335.36 & O~{\sc ii}      
4336.86 & O~{\sc ii}      
4338.67 & He~{\sc ii}     
4340.33 & O~{\sc ii}      
4340.47 & H~{\sc i}       
4342.00 & O~{\sc ii}      
4343.36 & O~{\sc ii}      
4343.51 & O~{\sc ii}      
4344.42 & O~{\sc ii}      
4344.68 & O~{\sc ii}      
4344.96 & O~{\sc ii}      
4345.55 & O~{\sc ii}      
4345.56 & O~{\sc ii}      
4346.16 & O~{\sc ii}      
4349.43 & O~{\sc ii}      
4351.81 & [Fe~{\sc ii}]   
4353.59 & O~{\sc ii}      
4354.18 & O~{\sc ii}      
4357.25 & O~{\sc ii}      
4358.45 & O~{\sc ii}      
4358.70 & O~{\sc ii}      
4358.81 & [Fe~{\sc ii}]   
4363.21 & [O~{\sc iii}]   
4366.53 & O~{\sc ii}      
4366.79 & O~{\sc ii}      
4366.89 & N~{\sc iii}     
4369.86 & Ne~{\sc ii}     
4371.24 & O~{\sc ii}      
4371.62 & O~{\sc ii}      
4374.30 & O~{\sc ii}      
4379.11 & N~{\sc iii}     
4379.55 & Ne~{\sc ii}     
4384.70 & O~{\sc ii}      
4385.32 & O~{\sc ii}      
4386.01 & O~{\sc ii}      
4387.93 & He~{\sc i}      
4391.99 & Ne~{\sc ii}     
4392.00 & Ne~{\sc ii}     
4397.85 & O~{\sc ii}      
4397.99 & Ne~{\sc ii}     
4398.10 & O~{\sc ii}      
4404.95 & O~{\sc ii}      
4409.30 & Ne~{\sc ii}     
4412.36 & O~{\sc ii}      
4413.11 & Ne~{\sc ii}     
4413.18 & O~{\sc ii}      
4413.22 & Ne~{\sc ii}     
4414.90 & O~{\sc ii}      
4416.97 & O~{\sc ii}      
4417.82 & N~{\sc ii}      
4427.96 & N~{\sc ii}      
4428.52 & Ne~{\sc ii}     
4428.64 & Ne~{\sc ii}     
4430.94 & Ne~{\sc ii}     
4431.82 & N~{\sc ii}      
4432.73 & N~{\sc ii}      
4432.74 & N~{\sc ii}      
4432.75 & N~{\sc ii}      
4433.48 & N~{\sc ii}      
4435.11 & N~{\sc i} ?     
4435.51 & O~{\sc ii}      
4437.55 & He~{\sc i}      
4442.02 & N~{\sc ii}      
4446.81 & O~{\sc ii}      
4447.03 & N~{\sc ii}      
4448.19 & O~{\sc ii}      
4452.37 & O~{\sc ii}      
4457.05 & Ne~{\sc ii}     
4457.24 & Ne~{\sc ii}     
4459.93 & N~{\sc ii}      
4459.94 & N~{\sc ii}      
4465.53 & N~{\sc ii}      
4466.41 & O~{\sc ii}      
4466.42 & O~{\sc ii}      
4466.59 & O~{\sc ii}      
4469.48 & O~{\sc ii}      
4471.50 & He~{\sc i}      
4475.89 & N~{\sc ii}      
4477.69 & N~{\sc ii}      
4477.90 & O~{\sc ii}      
4481.21 & Mg~{\sc ii}     
4485.45 & S~{\sc ii}      
4487.72 & O~{\sc ii}      
4488.12 & N~{\sc ii}      
4488.20 & O~{\sc ii}      
4488.75 & [Fe~{\sc ii}]   
4489.49 & O~{\sc ii}      
4491.07 & C~{\sc ii}      
4491.23 & O~{\sc ii}      
4507.56 & N~{\sc ii}      
4510.91 & N~{\sc iii}     
4514.86 & N~{\sc iii}     
4518.15 & N~{\sc iii}     
4523.58 & N~{\sc iii}     
4530.41 & N~{\sc ii}      
4530.86 & N~{\sc iii}     
4534.58 & N~{\sc iii}     
4541.59 & He~{\sc ii}     
4552.53 & N~{\sc ii}      
4562.60 & Mg~{\sc i}]     
4563.18 & O~{\sc ii}      
4571.10 & Mg~{\sc i}]     
4590.97 & O~{\sc ii}      
4595.96 & O~{\sc ii}      
4596.18 & O~{\sc ii}      
4601.48 & N~{\sc ii}      
4602.13 & O~{\sc ii}      
4607.03 & [Fe~{\sc iii}]  
4607.16 & N~{\sc ii}      
4609.44 & O~{\sc ii}      
4610.20 & O~{\sc ii}      
4611.07 & O~{\sc ii}      
4613.14 & O~{\sc ii}      
4613.68 & O~{\sc ii}      
4613.87 & N~{\sc ii}      
4620.26 & C~{\sc ii}      
4621.25 & O~{\sc ii}      
4621.27 & O~{\sc ii}      
4621.39 & N~{\sc ii}      
4622.14 & O~{\sc ii}      
4624.92 & [Ar~{\sc v}]    
4630.54 & N~{\sc ii}      
4634.14 & N~{\sc iii}     
