# lambda flux
# nm F$_{\lambda}$[W$m^{-2}\,nm^{-1}$]
429.69696126817473 2.182501115840857e-18
429.7979067472575 2.1249604977371967e-18
429.8988522263403 2.2380198251737187e-18
429.9997977054231 2.1811132634146914e-18
430.10074318450586 2.207786322068966e-18
430.2016886635887 2.2907992434063063e-18
430.3026341426714 2.2358007191031083e-18
430.40357962175426 2.178466628576502e-18
430.50452510083704 2.1792537758836756e-18
430.6054705799198 2.1816906939942272e-18
430.70641605900266 2.325955226909804e-18
430.8073615380854 2.3680349827635205e-18
430.9083070171682 2.1694758348343904e-18
431.00925249625095 2.2132210897132165e-18
431.1101979753338 2.305164091771674e-18
431.2111434544166 2.2689450005296256e-18
431.31208893349935 2.2325625572851416e-18
431.4130344125822 2.199493847979616e-18
431.5139798916649 2.189895120099453e-18
431.61492537074776 2.1860358066711392e-18
431.71587084983054 2.338654479751793e-18
431.8168163289133 2.2445472899078087e-18
431.9177618079961 2.1891146192041493e-18
432.0187072870789 2.2340807999875923e-18
432.1196527661617 2.1789377534502774e-18
432.22059824524445 2.2348652898443697e-18
432.3215437243273 2.3276527298233947e-18
432.42248920341007 2.2454318389522537e-18
432.52343468249285 2.1509417413016324e-18
432.62438016157563 2.190081625084332e-18
432.7253256406584 2.186771570921973e-18
432.82627111974125 2.159100177814899e-18
432.927216598824 2.123127058780303e-18
433.0281620779068 2.1239092160268104e-18
433.1291075569896 2.1479148565875653e-18
433.2300530360724 2.199579182903305e-18
433.3309985151552 2.174958615625795e-18
433.43194399423794 2.1605208267984796e-18
433.5328894733208 2.230618836685606e-18
433.6338349524035 2.153783706911344e-18
433.73478043148634 2.1723119934197737e-18
433.8357259105691 2.2159348786744586e-18
433.9366713896519 2.1287341799372393e-18
434.03761686873474 2.1567774789275097e-18
434.13856234781747 2.1880376788708334e-18
434.2395078269003 2.1320857938391684e-18
434.3404533059831 2.1177046087519145e-18
434.44139878506587 2.138172586275124e-18
434.54234426414865 2.032517753968531e-18
434.64328974323143 1.969126745396664e-18
434.7442352223143 2.061254121809441e-18
434.845180701397 2.1236253033846422e-18
434.94612618047984 2.100336826290653e-18
435.0470716595626 2.0928588202942447e-18
435.1480171386454 2.110017750577233e-18
435.2489626177282 2.058394552976281e-18
435.34990809681096 2.0894772726345077e-18
435.4508535758938 2.0802227952323733e-18
435.5517990549765 2.004836632862226e-18
435.65274453405937 2.0462927941300536e-18
435.75369001314215 2.0162154870534947e-18
435.85463549222493 2.019686281803273e-18
435.9555809713077 2.0450010313546847e-18
436.0565264503905 2.0482851557783217e-18
436.15747192947333 2.086451544155395e-18
436.25841740855606 2.0637604850335635e-18
436.3593628876389 2.1010041739025575e-18
436.4603083667217 2.0252031254402823e-18
436.56125384580446 1.9356024485811582e-18
436.6621993248873 2.0238818659407482e-18
436.76314480397 2.018730934824128e-18
436.86409028305286 2.013011537360789e-18
436.9650357621356 2.0525608884911576e-18
437.0659812412184 2.0255423997436874e-18
