# lambda flux
# nm Wm^-2nm^-1
423.2653444534494 0.0
423.31578490192027 3.934351728980249e-19
423.3662253503911 4.717860218380321e-19
423.4166657988619 4.0990317447985477e-19
423.46710624733277 4.727759651650739e-19
423.5175466958036 4.783920103584191e-19
423.5679871442744 4.433103763135549e-19
423.61842759274526 4.59914707177054e-19
423.6688680412161 4.820487829015265e-19
423.7193084896869 4.646910572111343e-19
423.7697489381577 4.607387839979517e-19
423.82018938662856 4.604610997660067e-19
423.8706298350994 4.523565453899407e-19
423.9210702835702 4.453970599370837e-19
423.97151073204105 4.2560370983131323e-19
424.0219511805119 4.197195631987473e-19
424.0723916289827 4.688947645050309e-19
424.12283207745355 5.180824735433432e-19
424.1732725259244 4.945663985865599e-19
424.2237129743952 4.894975772502993e-19
424.274153422866 5.379737373349789e-19
424.3245938713369 5.063923327802629e-19
424.3750343198077 4.880792724803095e-19
424.4254747682785 4.631420678727625e-19
424.47591521674934 4.636097047179135e-19
424.5263556652202 4.782749972343712e-19
424.576796113691 5.130641822193941e-19
424.62723656216184 5.835033418015066e-19
424.6776770106327 5.605370679554025e-19
424.7281174591035 5.296765484073819e-19
424.77855790757434 4.2405095299336573e-19
424.8289983560452 5.294018348810999e-19
424.879438804516 5.188264859683774e-19
424.9298792529868 4.896819575906518e-19
424.98031970145763 4.44868581322088e-19
425.0307601499285 4.540002518943966e-19
425.0812005983993 5.974709768200234e-19
425.13164104687013 5.262369633714838e-19
425.182081495341 4.945086621627141e-19
425.2325219438118 5.362295716158262e-19
425.2829623922826 4.496901508983008e-19
425.3334028407535 4.369220995316754e-19
425.3838432892243 5.094206158984055e-19
425.43428373769507 5.360845725760054e-19
425.484724186166 5.043300622025609e-19
425.53516463463677 4.402556280914231e-19
425.58560508310757 4.6760738813146075e-19
425.6360455315784 4.877555043541645e-19
425.68648598004927 4.93860231618983e-19
425.73692642852006 5.032619396245843e-19
425.7873668769909 5.25976000116004e-19
425.83780732546177 4.7462848600729515e-19
425.88824777393256 4.764402928009394e-19
425.9386882224034 5.52839419134013e-19
425.98912867087427 5.12673891024968e-19
426.03956911934506 4.746925417931005e-19
426.09000956781586 4.828212644945417e-19
426.14045001628676 4.983297344332165e-19
426.19089046475756 4.585598513976789e-19
426.24133091322835 5.292544514232643e-19
426.2917713616992 3.6939414930553366e-19
426.34221181017006 4.450365031727498e-19
426.39265225864085 5.247516461228607e-19
426.4430927071117 4.758187809300117e-19
426.49353315558255 5.32515346617907e-19
426.54397360405335 4.934473790235185e-19
426.59441405252414 5.355645614476287e-19
426.64485450099505 4.593441598497017e-19
426.69529494946585 4.2654448128832684e-19
426.74573539793664 4.2000998706026427e-19
426.7961758464075 4.075837752395408e-19
426.84661629487834 4.433726441352946e-19
426.89705674334914 5.235619577395695e-19
426.94749719182 4.711372963034263e-19
426.99793764029084 4.906950153070747e-19
427.04837808876164 5.5198919729999525e-19
427.0988185372325 5.146182182034137e-19
427.14925898570334 4.527123041059997e-19
427.19969943417414 4.536743520374041e-19
427.25013988264493 4.797602873847411e-19
427.30058033111584 4.487298863452679e-19
427.35102077958663 4.53061187653948e-19
427.4014612280574 5.192337949714408e-19
427.4519016765283 5.229121845936111e-19
427.50234212499913 4.905725236733243e-19
427.5527825734699 4.3241527668723576e-19
427.6032230219408 5.337893721515504e-19
427.65366347041163 5.176282585182477e-19
427.7041039188824 5.5601749751605785e-19
427.7545443673533 5.196914540235276e-19
427.8049848158241 4.482136583994304e-19
427.8554252642949 4.411218506444511e-19
427.9058657127657 4.610063481183812e-19
427.95630616123657 4.706207575662056e-19
428.0067466097074 5.658136861523216e-19
428.0571870581782 4.662026943674941e-19
428.10762750664907 4.4589930999539255e-19
428.1580679551199 5.167125183612926e-19
428.2085084035907 5.1504168598905e-19
428.25894885206156 4.723092512952965e-19
428.3093893005324 4.800880688236064e-19
428.3598297490032 4.551287426137916e-19
428.410270197474 5.131998958378482e-19
428.4607106459449 4.561789010258716e-19
428.5111510944157 5.183702208781109e-19
428.5615915428865 4.703579471954743e-19
428.61203199135736 4.851817532234818e-19
428.6624724398282 4.748382627079573e-19
428.712912888299 4.733839438085647e-19
428.76335333676985 5.114745412661965e-19
428.8137937852407 4.689727636901179e-19
428.8642342337115 4.489054482475765e-19
428.91467468218235 5.222385404593726e-19
428.9651151306532 4.99244152820636e-19
429.015555579124 4.776458077826931e-19
429.0659960275948 4.935116831645057e-19
429.11643647606564 5.018173697106314e-19
429.1668769245365 4.718486682786996e-19
429.2173173730073 4.626384249534481e-19
429.26775782147814 4.419221764065477e-19
429.318198269949 4.470622191285373e-19
429.3686387184198 4.287304936229651e-19
429.41907916689064 4.389897365483633e-19
429.4695196153615 4.608416073609496e-19
429.5199600638323 4.453751265373227e-19
429.5704005123031 4.791724922468492e-19
429.620840960774 4.776083741485384e-19
429.6712814092448 4.486058148560812e-19
429.7217218577156 4.458540751731068e-19
429.77216230618643 4.65141004443414e-19
429.8226027546573 4.563767562003204e-19
429.8730432031281 4.583502066462982e-19
429.92348365159893 4.63917414473611e-19
429.9739241000698 4.689826368693612e-19
430.0243645485406 4.7098260361219e-19
430.0748049970114 5.068523762781445e-19
430.1252454454823 5.122629552802149e-19
430.1756858939531 5.186177932950945e-19
430.22612634242387 4.60924803001467e-19
430.2765667908948 4.3219887509716343e-19
430.32700723936557 4.894886404569437e-19
430.37744768783637 4.347437168850717e-19
430.4278881363072 4.591275855309071e-19
430.47832858477807 4.637775839251042e-19
430.52876903324886 4.865531056994317e-19
430.5792094817197 4.403537980318613e-19
430.62964993019057 4.45976608204289e-19
430.68009037866136 4.57655627692891e-19
430.7305308271322 4.338003930066496e-19
430.78097127560306 5.117051491245095e-19
430.83141172407386 4.582314354968608e-19
430.88185217254465 4.370623715487629e-19
430.9322926210155 4.630906709080633e-19
430.98273306948636 4.804397292888093e-19
431.03317351795715 4.579477873278327e-19
431.083613966428 4.901043578648663e-19
431.13405441489886 5.394036586424395e-19
431.18449486336965 4.912579135860319e-19
431.2349353118405 4.840545900977114e-19
431.28537576031135 4.70061506145863e-19
431.33581620878215 4.911031629889142e-19
431.38625665725294 4.823731855261576e-19
431.43669710572385 4.514740741476095e-19
431.48713755419465 4.491806075789567e-19
431.53757800266544 4.336639777922833e-19
431.5880184511363 4.53756449128445e-19
431.63845889960714 4.711332968702423e-19
431.68889934807794 4.646499909673042e-19
431.7393397965488 4.504417048978774e-19
431.78978024501964 4.806481320674644e-19
431.84022069349044 4.857587273474354e-19
431.8906611419613 4.97807497136895e-19
431.94110159043214 4.943688659352581e-19
431.99154203890294 4.783700945577574e-19
432.04198248737373 5.056146049233829e-19
432.0924229358446 5.37511676717666e-19
432.14286338431543 4.854848902555053e-19
432.1933038327862 4.1339778368371734e-19
432.2437442812571 4.3131686287893674e-19
432.29418472972793 4.3449346567442685e-19
432.3446251781987 4.2791056321329285e-19
432.3950656266696 4.043591553124731e-19
432.44550607514043 4.728849282037287e-19
432.4959465236112 4.617391738235507e-19
432.546386972082 4.488767940027085e-19
432.5968274205529 4.96312230075323e-19
432.6472678690237 4.701227187291429e-19
432.6977083174945 4.668923081833779e-19
432.74814876596537 4.573716967874711e-19
432.7985892144362 4.226580870696412e-19
432.849029662907 4.105394096973174e-19
432.89947011137787 4.0183489384700206e-19
432.9499105598487 4.346945114807197e-19
433.0003510083195 4.243273247845293e-19
433.05079145679036 4.385301506884925e-19
433.1012319052612 4.489143409716704e-19
433.151672353732 3.962341560416021e-19
433.2021128022028 4.466809915320068e-19
433.25255325067366 4.646822712485017e-19
433.3029936991445 4.351271991696381e-19
433.3534341476153 4.120054400538247e-19
433.40387459608615 4.11401670838042e-19
433.454315044557 4.3127419009283885e-19
433.5047554930278 4.295358755748728e-19
433.55519594149865 4.353034927465992e-19
433.6056363899695 4.3229736224807226e-19
433.6560768384403 4.1563699277321965e-19
433.7065172869111 4.1584320341776346e-19
433.756957735382 4.757484432898697e-19
433.8073981838528 4.7170360139411965e-19
433.8578386323236 4.1103850033456937e-19
433.90827908079444 4.0194658752749815e-19
433.9587195292653 4.438897611919415e-19
434.0091599777361 4.314061102962509e-19
434.05960042620694 4.2145274359473163e-19
434.1100408746778 4.3047033357960377e-19
434.1604813231486 4.200692211246201e-19
434.21092177161944 4.155831642962193e-19
434.2613622200903 4.374238604516359e-19
434.3118026685611 4.3329333568474447e-19
434.3622431170319 4.2646235801792963e-19
434.4126835655028 4.590715984368353e-19
434.4631240139736 4.437837301132788e-19
434.5135644624444 4.2189088133724e-19
434.56400491091523 4.603201839013036e-19
434.6144453593861 4.613436643377372e-19
434.6648858078569 4.609685636120775e-19
434.7153262563277 4.430539519231311e-19
434.7657667047986 4.295301152585854e-19
434.8162071532694 4.099339043707573e-19
434.8666476017402 4.20993677667268e-19
434.9170880502111 4.332001804931212e-19
434.9675284986819 4.2617182827586493e-19
435.01796894715267 4.1914650292033714e-19
435.0684093956235 4.582140533588363e-19
435.11884984409437 4.497639262648946e-19
435.16929029256517 3.954918814246495e-19
435.219730741036 3.961236563501484e-19
435.27017118950687 4.290252649053249e-19
435.32061163797766 4.239102243794339e-19
435.3710520864485 4.1243914181580537e-19
435.42149253491937 4.2615271184930486e-19
435.47193298339016 4.523249510385596e-19
435.52237343186096 4.759766777928057e-19
435.57281388033186 4.329911496205873e-19
435.62325432880266 4.149255730354287e-19
435.67369477727345 4.115989156515335e-19
435.7241352257443 4.288389828988875e-19
435.77457567421516 4.800106812436037e-19
435.82501612268595 4.524546528262615e-19
435.8754565711568 4.2293663630604334e-19
435.92589701962766 3.7595978925502877e-19
435.97633746809845 3.6250098294726506e-19
436.0267779165693 4.064700667482046e-19
436.07721836504015 4.036978541644269e-19
436.12765881351095 4.1882319829010026e-19
436.17809926198174 3.9583606203619896e-19
436.2285397104526 3.8538179277329995e-19
436.27898015892345 4.165707707164221e-19
436.32942060739424 4.464903440514324e-19
436.3798610558651 3.9074699323630197e-19
436.43030150433594 3.929466346006789e-19
436.48074195280674 3.685778772819413e-19
436.5311824012776 3.6597190542065187e-19
436.58162284974844 3.7074714455748293e-19
436.63206329821924 3.5694294659428432e-19
436.68250374669003 3.73960672367882e-19
436.73294419516094 3.4716397223943077e-19
436.78338464363173 3.835360989553421e-19
436.83382509210253 4.1314999232808786e-19
436.8842655405734 4.238714733899136e-19
436.93470598904423 4.491120005638228e-19
436.985146437515 4.8222043340992055e-19
437.0355868859859 5.393613592046592e-19
437.08602733445673 5.648127440934225e-19
437.1364677829275 6.250856207157345e-19
437.1869082313984 6.771981975185333e-19
437.2373486798692 7.805643347886592e-19
437.28778912834 8.581019681319581e-19
437.3382295768108 9.180116422723791e-19
437.3886700252817 9.546903290054396e-19
437.4391104737525 9.328281658481108e-19
437.4895509222233 9.04599740471869e-19
437.53999137069417 7.778918546084643e-19
437.590431819165 6.832141128935879e-19
437.6408722676358 6.799742847756333e-19
437.69131271610667 5.774829739545493e-19
437.7417531645775 5.814068183483748e-19
437.7921936130483 4.931687464857159e-19
437.8426340615191 4.905889712741732e-19
437.89307450999 4.067509648196223e-19
437.9435149584608 3.65873350211142e-19
437.9939554069316 3.741881529173568e-19
438.04439585540246 3.692399174593554e-19
438.0948363038733 3.694670446700203e-19
438.1452767523441 3.3164908412027564e-19
438.19571720081495 3.7688635849168194e-19
438.2461576492858 4.228445686995463e-19
438.2965980977566 3.871835626205073e-19
438.34703854622745 3.590009206142448e-19
438.3974789946983 4.005379930878234e-19
438.4479194431691 4.503057919382219e-19
438.4983598916399 4.277529146997793e-19
438.5488003401108 3.528777255702873e-19
438.5992407885816 3.949281251338995e-19
438.6496812370524 4.5740814673849e-19
438.70012168552324 4.282655791194975e-19
438.7505621339941 4.11787748651651e-19
438.8010025824649 4.235255330310527e-19
438.85144303093574 4.347915537639393e-19
438.9018834794066 4.338374614800838e-19
438.9523239278774 4.2297749178088436e-19
439.00276437634824 4.395323852492208e-19
439.0532048248191 4.3097179881410984e-19
439.1036452732899 4.38670823168066e-19
439.1540857217607 4.382173560124881e-19
439.20452617023153 4.502273130739147e-19
439.2549666187024 4.591942291434859e-19
439.3054070671732 4.642227192464653e-19
439.35584751564403 4.764935764289296e-19
439.4062879641149 4.464391146170846e-19
439.4567284125857 4.284216245313481e-19
439.5071688610565 4.860331477753206e-19
439.5576093095274 5.100304448798226e-19
439.6080497579982 5.105955157810523e-19
439.65849020646897 5.324465279950291e-19
439.7089306549399 5.013973341644115e-19
439.7593711034107 5.0428674069702305e-19
439.80981155188147 4.909941207543906e-19
439.8602520003523 4.640163877529453e-19
439.91069244882317 4.665433834274817e-19
439.96113289729396 4.824361563568839e-19
440.0115733457648 4.652593644432288e-19
440.06201379423567 4.409019328327925e-19
440.11245424270646 4.968848835688152e-19
440.1628946911773 4.615171411432989e-19
440.21333513964817 4.259501275678201e-19
440.26377558811896 4.431291449372374e-19
440.31421603658976 4.017321486795771e-19
440.3646564850606 4.281195345894992e-19
440.41509693353146 4.1761506722668873e-19
440.46553738200225 5.1841710921575725e-19
440.5159778304731 4.635443189030971e-19
440.56641827894396 4.3020829710337013e-19
440.61685872741475 4.2083203202776824e-19
440.6672991758856 4.066355020534812e-19
440.71773962435645 4.739759485423588e-19
440.76818007282725 4.2946321256379183e-19
440.81862052129804 4.376557294563835e-19
440.86906096976895 4.6263983768714e-19
440.91950141823975 4.1607112548025117e-19
440.96994186671054 4.1042712890516293e-19
441.0203823151814 4.330268373359188e-19
441.07082276365225 4.485244611289574e-19
441.12126321212304 4.647345166041909e-19
441.1717036605939 4.3004623039875023e-19
441.22214410906474 4.169514521036987e-19
441.27258455753554 4.4516919920212875e-19
441.3230250060064 4.541065012259676e-19
441.37346545447724 4.2962895986376985e-19
441.42390590294804 4.2736388829583523e-19
441.47434635141883 4.274853292134657e-19
441.52478679988974 4.280341954522457e-19
441.57522724836053 4.324618400623497e-19
441.62566769683133 4.1629178355112095e-19
441.6761081453022 4.122338522936391e-19
441.72654859377303 4.257090035529264e-19
441.7769890422438 4.309441665450241e-19
441.8274294907147 4.217424429888705e-19
441.87786993918553 4.232894354120604e-19
441.9283103876563 4.149471381849564e-19
441.9787508361272 4.446986646127614e-19
442.029191284598 4.382523481779983e-19
442.0796317330688 4.305973038973389e-19
442.1300721815396 4.3028885761949233e-19
442.18051263001047 4.2742670069760077e-19
442.2309530784813 4.647929589251043e-19
442.2813935269521 4.2517354439154573e-19
442.33183397542297 4.2579154457017313e-19
442.3822744238938 4.219850746807581e-19
442.4327148723646 4.542062986955986e-19
442.48315532083546 4.867282185694811e-19
442.5335957693063 4.4187936864698e-19
442.5840362177771 4.2211229189339523e-19
442.6344766662479 4.1475957068801354e-19
442.6849171147188 4.411043819347506e-19
442.7353575631896 4.579688297296745e-19
442.7857980116604 4.718614361316208e-19
442.83623846013126 4.345725585368825e-19
442.8866789086021 4.3262453911374287e-19
442.9371193570729 4.576653311169514e-19
442.98755980554375 4.728249953377754e-19
443.0380002540146 4.546244339191496e-19
443.0884407024854 4.464755611835998e-19
443.13888115095625 4.098278605362699e-19
443.1893215994271 3.886152637789442e-19
443.2397620478979 4.30269429350573e-19
443.2902024963687 4.153957931012157e-19
443.34064294483954 4.437928456185424e-19
443.3910833933104 4.404209300604183e-19
443.4415238417812 4.709112016432423e-19
443.49196429025204 4.872807579464319e-19
443.5424047387229 4.435002873968728e-19
443.5928451871937 4.0999076152402347e-19
443.64328563566454 4.2908722382290325e-19
443.6937260841354 4.479910285896889e-19
443.7441665326062 4.4303503616927e-19
443.794606981077 4.570643752589015e-19
443.8450474295479 4.460182461175324e-19
443.8954878780187 4.2227670799181447e-19
443.9459283264895 4.403189789719875e-19
443.99636877496033 4.211990881078316e-19
444.0468092234312 4.415943357726843e-19
444.097249671902 4.154503490604033e-19
444.14769012037283 4.414242876924468e-19
444.1981305688437 4.085289375454418e-19
444.2485710173145 4.651874149312254e-19
444.2990114657853 4.3226377795880197e-19
444.3494519142562 4.2983757924522504e-19
444.399892362727 4.2664071082523634e-19
444.45033281119777 4.3497249624695085e-19
